Consumer confidence index (CCI),
"Amplitude adjusted, Long-term average = 100",
Category,OECD
01-01-2000 00:00,102.3445
01-02-2000 00:00,102.3539
01-03-2000 00:00,102.3021
01-04-2000 00:00,102.2787
01-05-2000 00:00,102.267
01-06-2000 00:00,102.232
01-07-2000 00:00,102.2254
01-08-2000 00:00,102.1686
01-09-2000 00:00,102.0416
01-10-2000 00:00,101.9479
01-11-2000 00:00,101.8198
01-12-2000 00:00,101.611
01-01-2001 00:00,101.4054
01-02-2001 00:00,101.2362
01-03-2001 00:00,101.1373
01-04-2001 00:00,101.0682
01-05-2001 00:00,101.0197
01-06-2001 00:00,100.9767
01-07-2001 00:00,100.8856
01-08-2001 00:00,100.6917
01-09-2001 00:00,100.434
01-10-2001 00:00,100.3117
01-11-2001 00:00,100.3723
01-12-2001 00:00,100.5579
01-01-2002 00:00,100.7274
01-02-2002 00:00,100.8544
01-03-2002 00:00,100.9602
01-04-2002 00:00,100.9856
01-05-2002 00:00,100.9705
01-06-2002 00:00,100.854
01-07-2002 00:00,100.6994
01-08-2002 00:00,100.5508
01-09-2002 00:00,100.4055
01-10-2002 00:00,100.2476
01-11-2002 00:00,100.1366
01-12-2002 00:00,99.9942
01-01-2003 00:00,99.79356
01-02-2003 00:00,99.62147
01-03-2003 00:00,99.61016
01-04-2003 00:00,99.85141
01-05-2003 00:00,100.122
01-06-2003 00:00,100.2875
01-07-2003 00:00,100.3563
01-08-2003 00:00,100.3505
01-09-2003 00:00,100.3589
01-10-2003 00:00,100.4324
01-11-2003 00:00,100.5664
01-12-2003 00:00,100.7061
01-01-2004 00:00,100.8491
01-02-2004 00:00,100.8351
01-03-2004 00:00,100.7892
01-04-2004 00:00,100.7468
01-05-2004 00:00,100.7225
01-06-2004 00:00,100.7651
01-07-2004 00:00,100.8226
01-08-2004 00:00,100.8258
01-09-2004 00:00,100.802
01-10-2004 00:00,100.8066
01-11-2004 00:00,100.8623
01-12-2004 00:00,100.9571
01-01-2005 00:00,101.033
01-02-2005 00:00,101.0129
01-03-2005 00:00,100.8781
01-04-2005 00:00,100.7293
01-05-2005 00:00,100.6699
01-06-2005 00:00,100.708
01-07-2005 00:00,100.6709
01-08-2005 00:00,100.4671
01-09-2005 00:00,100.2215
01-10-2005 00:00,100.204
01-11-2005 00:00,100.4338
01-12-2005 00:00,100.755
01-01-2006 00:00,100.9769
01-02-2006 00:00,101.0226
01-03-2006 00:00,100.9815
01-04-2006 00:00,100.874
01-05-2006 00:00,100.7007
01-06-2006 00:00,100.607
01-07-2006 00:00,100.5821
01-08-2006 00:00,100.6108
01-09-2006 00:00,100.755
01-10-2006 00:00,100.9611
01-11-2006 00:00,101.0763
01-12-2006 00:00,101.1312
01-01-2007 00:00,101.14
01-02-2007 00:00,101.0772
01-03-2007 00:00,100.9964
01-04-2007 00:00,100.9704
01-05-2007 00:00,100.9862
01-06-2007 00:00,100.9596
01-07-2007 00:00,100.9156
01-08-2007 00:00,100.764
01-09-2007 00:00,100.5677
01-10-2007 00:00,100.3297
01-11-2007 00:00,100.0559
01-12-2007 00:00,99.84447
01-01-2008 00:00,99.62612
01-02-2008 00:00,99.3157
01-03-2008 00:00,98.94115
01-04-2008 00:00,98.47881
01-05-2008 00:00,98.02509
01-06-2008 00:00,97.67136
01-07-2008 00:00,97.56241
01-08-2008 00:00,97.64618
01-09-2008 00:00,97.6592
01-10-2008 00:00,97.39283
01-11-2008 00:00,97.14826
01-12-2008 00:00,97.01285
01-01-2009 00:00,96.95059
01-02-2009 00:00,96.96042
01-03-2009 00:00,97.18797
01-04-2009 00:00,97.64713
01-05-2009 00:00,98.1047
01-06-2009 00:00,98.44762
01-07-2009 00:00,98.67144
01-08-2009 00:00,98.88157
01-09-2009 00:00,99.10477
01-10-2009 00:00,99.20586
01-11-2009 00:00,99.23573
01-12-2009 00:00,99.29727
01-01-2010 00:00,99.36679
01-02-2010 00:00,99.38371
01-03-2010 00:00,99.37933
01-04-2010 00:00,99.35398
01-05-2010 00:00,99.30127
01-06-2010 00:00,99.25367
01-07-2010 00:00,99.20539
01-08-2010 00:00,99.22376
01-09-2010 00:00,99.2506
01-10-2010 00:00,99.29602
01-11-2010 00:00,99.37855
01-12-2010 00:00,99.41419
01-01-2011 00:00,99.37498
01-02-2011 00:00,99.26607
01-03-2011 00:00,99.03644
01-04-2011 00:00,98.90222
01-05-2011 00:00,98.89183
01-06-2011 00:00,98.80633
01-07-2011 00:00,98.57081
01-08-2011 00:00,98.29303
01-09-2011 00:00,98.18444
01-10-2011 00:00,98.20218
01-11-2011 00:00,98.33817
01-12-2011 00:00,98.52637
01-01-2012 00:00,98.73482
01-02-2012 00:00,98.8828
01-03-2012 00:00,98.94843
01-04-2012 00:00,98.94559
01-05-2012 00:00,98.90974
01-06-2012 00:00,98.81481
01-07-2012 00:00,98.76342
01-08-2012 00:00,98.76477
01-09-2012 00:00,98.80897
01-10-2012 00:00,98.87088
01-11-2012 00:00,98.88103
01-12-2012 00:00,98.83285
01-01-2013 00:00,98.90093
01-02-2013 00:00,99.01849
01-03-2013 00:00,99.12666
01-04-2013 00:00,99.23127
01-05-2013 00:00,99.37586
01-06-2013 00:00,99.50394
