Date,Open,High,Low,Close,Adjusted,Volume,Dividend amount
04-12-2024,421.57,439.67,421.31,437.42,437.42,64518639,0
,,,,,,,
29-11-2024,409.01,429.325,405.5713,423.46,423.46,442321341,0.83
,,,,,,,
31-10-2024,428.45,438.5,406.3,406.35,405.5347,440766715,0
,,,,,,,
30-09-2024,417.91,441.85,400.8,430.3,429.4367,376719438,0
,,,,,,,
30-08-2024,420.785,427.46,385.58,417.14,416.3031,451919023,0.75
,,,,,,,
31-07-2024,448.66,468.35,412.21,418.35,416.7683,440446499,0
,,,,,,,
28-06-2024,415.525,456.17,408.9234,446.95,445.2601,342370406,0
,,,,,,,
31-05-2024,392.61,433.6,390.31,415.13,413.5604,413810421,0.75
,,,,,,,
30-04-2024,423.95,429.37,388.03,389.33,387.1716,440119511,0
,,,,,,,
28-03-2024,411.27,430.82,398.39,420.72,418.3876,425101681,0
,,,,,,,
29-02-2024,401.83,420.82,397.22,413.64,411.3469,444203455,0.75
,,,,,,,
31-01-2024,373.86,415.32,366.5,397.58,394.6531,525975837,0
,,,,,,,
29-12-2023,376.76,378.16,362.9,376.04,373.2717,521914675,0
,,,,,,,
30-11-2023,339.79,384.3,339.65,378.91,376.1205,564165364,0.75
,,,,,,,
31-10-2023,316.28,346.2,311.215,338.11,334.9413,540963749,0
,,,,,,,
29-09-2023,331.31,340.86,309.45,315.75,312.7909,416768824,0
,,,,,,,
31-08-2023,335.19,338.54,311.5508,327.76,324.6883,479669427,0.68
,,,,,,,
31-07-2023,339.19,366.78,327,335.92,332.0671,666956355,0
,,,,,,,
30-06-2023,325.93,351.47,322.5,340.54,336.6341,547748450,0
,,,,,,,
31-05-2023,306.97,335.94,303.4,328.39,324.6235,600453246,0.68
,,,,,,,
28-04-2023,286.52,308.93,275.37,307.26,303.0795,551356990,0
,,,,,,,
31-03-2023,250.76,289.27,245.61,288.3,284.3774,747751976,0
,,,,,,,
28-02-2023,248,276.76,245.47,249.42,246.0264,615540778,0.68
,,,,,,,
31-01-2023,243.08,249.83,219.35,247.81,243.8227,666168068,0
,,,,,,,
30-12-2022,253.87,263.915,233.87,239.82,235.9613,591366468,0
,,,,,,,
30-11-2022,234.6,255.33,213.431,255.14,251.0348,615328220,0.68
,,,,,,,
31-10-2022,235.41,251.04,219.13,232.13,227.7543,671366804,0
,,,,,,,
30-09-2022,258.87,267.45,232.73,232.9,228.5098,575416752,0
,,,,,,,
31-08-2022,277.82,294.18,260.66,261.47,256.5413,476959033,0.62
,,,,,,,
29-07-2022,256.39,282,245.94,280.74,274.863,534986150,0
,,,,,,,
30-06-2022,275.195,277.69,241.51,256.83,251.4536,621501474,0
,,,,,,,
31-05-2022,277.71,290.88,246.44,271.87,266.1787,742766114,0.62
,,,,,,,
29-04-2022,309.37,315.11,270,277.52,271.049,622644983,0
,,,,,,,
31-03-2022,296.4,315.95,270,308.31,301.1211,732627846,0
,,,,,,,
28-02-2022,310.41,315.12,271.52,298.79,291.8231,697204843,0.62
,,,,,,,
31-01-2022,335.35,338,276.05,310.98,303.1014,946705316,0
,,,,,,,
31-12-2021,335.13,344.3,317.25,336.32,327.7994,625743806,0
,,,,,,,
30-11-2021,331.355,349.67,326.37,330.59,322.2146,507120518,0.62
,,,,,,,
29-10-2021,282.1217,332,280.25,331.62,322.6286,516523658,0
,,,,,,,
30-09-2021,302.865,305.32,281.62,281.92,274.2762,502931199,0
,,,,,,,
